year,month,passengers,percent_change,passengers_last_year
2020,5,1624,-37.273078408652,2589
2020,4,1262,-48.9275596924322,2471
2020,3,939,-62.5,2504
2020,2,1554,-21.5151515151515,1980
2020,1,2125,-6.67545015371102,2277
2019,12,2434,0.578512396694215,2420
2019,6,2357,0,0
2019,5,2589,0,0
2019,4,2471,0,0
2019,3,2504,0,0
2019,2,1980,0,0
2019,1,2277,0,0
2018,12,2420,0,0
